recording,component,frontal_z_Fp1,frontal_z_Fp2,frontal_z_combined,iclabel_winning,iclabel_eye_prob
sub-131-a,15,0.834,0.32,0.834,other,0.1246
sub-131-a,14,0.171,0.694,0.694,other,0.103
sub-131-a,16,0.517,0.633,0.633,eye blink,0.5728
sub-131-a,17,0.303,0.209,0.303,other,0.0563
sub-131-a,5,0.112,0.016,0.112,other,0.0017
sub-131-a,11,0.058,0.08,0.08,other,0.0052
sub-131-a,4,0.062,0.078,0.078,other,0.0031
sub-131-a,1,0.041,0.023,0.041,brain,0.0069
sub-131-a,2,0.034,0.02,0.034,other,0.0196
sub-131-a,13,0.032,0.0,0.032,other,0.0006
sub-131-a,7,0.025,0.004,0.025,brain,0.0051
sub-131-a,0,0.021,0.016,0.021,other,0.0662
sub-131-a,9,0.009,0.012,0.012,other,0.0176
sub-131-a,6,0.005,0.011,0.011,other,0.0033
sub-131-a,12,0.003,0.011,0.011,other,0.0043
sub-131-a,3,0.0,0.011,0.011,other,0.0393
sub-131-a,10,0.006,0.0,0.006,other,0.0075
sub-131-a,8,0.002,0.005,0.005,brain,0.0012
sub-131-c,13,0.978,0.772,0.978,eye blink,0.6049
sub-131-c,14,0.301,0.72,0.72,other,0.0168
sub-131-c,10,0.058,0.136,0.136,other,0.0326
sub-131-c,12,0.119,0.131,0.131,brain,0.0168
sub-131-c,0,0.029,0.06,0.06,other,0.0202
sub-131-c,17,0.043,0.06,0.06,other,0.1559
sub-131-c,9,0.05,0.028,0.05,brain,0.002
sub-131-c,4,0.023,0.037,0.037,other,0.0047
sub-131-c,7,0.022,0.035,0.035,brain,0.0084
sub-131-c,6,0.011,0.032,0.032,other,0.0058
sub-131-c,3,0.008,0.031,0.031,brain,0.005
sub-131-c,1,0.003,0.026,0.026,other,0.0771
sub-131-c,5,0.026,0.025,0.026,other,0.0265
sub-131-c,16,0.024,0.01,0.024,other,0.0018
sub-131-c,8,0.008,0.022,0.022,brain,0.0062
sub-131-c,11,0.011,0.013,0.013,brain,0.019
sub-131-c,2,0.013,0.001,0.013,eye blink,0.4196
sub-131-c,15,0.003,0.009,0.009,brain,0.0015
sub-134-a,16,0.54,0.939,0.939,other,0.1254
sub-134-a,17,0.887,0.363,0.887,other,0.101
sub-134-a,14,0.089,0.173,0.173,other,0.0338
sub-134-a,15,0.077,0.059,0.077,brain,0.0268
sub-134-a,7,0.054,0.076,0.076,other,0.0074
sub-134-a,9,0.03,0.069,0.069,brain,0.0044
sub-134-a,10,0.032,0.059,0.059,other,0.0046
sub-134-a,6,0.024,0.054,0.054,other,0.0215
sub-134-a,8,0.043,0.044,0.044,brain,0.0056
sub-134-a,5,0.029,0.006,0.029,brain,0.0151
sub-134-a,3,0.026,0.019,0.026,brain,0.1776
sub-134-a,4,0.021,0.002,0.021,brain,0.0001
sub-134-a,13,0.008,0.02,0.02,other,0.0141
sub-134-a,0,0.004,0.014,0.014,brain,0.0086
sub-134-a,1,0.004,0.014,0.014,other,0.0263
sub-134-a,12,0.01,0.006,0.01,other,0.0034
sub-134-a,2,0.01,0.0,0.01,other,0.0181
sub-134-a,11,0.009,0.002,0.009,brain,0.0133
sub-134-c,17,0.355,0.976,0.976,other,0.0715
sub-134-c,16,0.93,0.163,0.93,other,0.2497
sub-134-c,11,0.092,0.036,0.092,other,0.002
sub-134-c,7,0.091,0.085,0.091,other,0.0434
sub-134-c,6,0.037,0.064,0.064,other,0.0079
sub-134-c,8,0.061,0.007,0.061,other,0.0503
sub-134-c,15,0.004,0.061,0.061,other,0.0323
sub-134-c,14,0.035,0.056,0.056,other,0.02
sub-134-c,9,0.044,0.009,0.044,brain,0.0032
sub-134-c,13,0.028,0.035,0.035,other,0.0188
sub-134-c,1,0.03,0.007,0.03,brain,0.0002
sub-134-c,12,0.029,0.001,0.029,brain,0.0165
sub-134-c,0,0.012,0.029,0.029,other,0.0305
sub-134-c,10,0.007,0.018,0.018,other,0.0069
sub-134-c,3,0.005,0.017,0.017,other,0.1521
sub-134-c,5,0.008,0.015,0.015,other,0.0627
sub-134-c,2,0.0,0.015,0.015,other,0.1011
sub-134-c,4,0.006,0.005,0.006,other,0.026
