recording,component_idx,label,probability,artifact_eligible
sub-131-a,0,other,0.6305,False
sub-131-a,1,brain,0.8792,False
sub-131-a,2,other,0.3722,False
sub-131-a,3,other,0.5122,False
sub-131-a,4,other,0.734,False
sub-131-a,5,other,0.9145,False
sub-131-a,6,other,0.8098,False
sub-131-a,7,brain,0.894,False
sub-131-a,8,brain,0.5291,False
sub-131-a,9,other,0.6479,False
sub-131-a,10,other,0.592,False
sub-131-a,11,other,0.7531,False
sub-131-a,12,other,0.9016,False
sub-131-a,13,other,0.932,False
sub-131-a,14,other,0.7097,False
sub-131-a,15,other,0.7072,False
sub-131-a,16,eye blink,0.5728,True
sub-131-a,17,other,0.4165,False
sub-131-c,0,other,0.7753,False
sub-131-c,1,other,0.548,False
sub-131-c,2,eye blink,0.4196,True
sub-131-c,3,brain,0.8859,False
sub-131-c,4,other,0.6652,False
sub-131-c,5,other,0.4904,False
sub-131-c,6,other,0.79,False
sub-131-c,7,brain,0.4616,False
sub-131-c,8,brain,0.618,False
sub-131-c,9,brain,0.614,False
sub-131-c,10,other,0.5833,False
sub-131-c,11,brain,0.7085,False
sub-131-c,12,brain,0.5299,False
sub-131-c,13,eye blink,0.6049,True
sub-131-c,14,other,0.8684,False
sub-131-c,15,brain,0.7369,False
sub-131-c,16,other,0.7134,False
sub-131-c,17,other,0.6114,False
sub-134-a,0,brain,0.6033,False
sub-134-a,1,other,0.5737,False
sub-134-a,2,other,0.4389,False
sub-134-a,3,brain,0.6269,False
sub-134-a,4,brain,0.9614,False
sub-134-a,5,brain,0.6169,False
sub-134-a,6,other,0.5361,False
sub-134-a,7,other,0.6323,False
sub-134-a,8,brain,0.8714,False
sub-134-a,9,brain,0.9216,False
sub-134-a,10,other,0.8644,False
sub-134-a,11,brain,0.6002,False
sub-134-a,12,other,0.5857,False
sub-134-a,13,other,0.6127,False
sub-134-a,14,other,0.4957,False
sub-134-a,15,brain,0.4507,False
sub-134-a,16,other,0.7668,False
sub-134-a,17,other,0.7823,False
sub-134-c,0,other,0.5007,False
sub-134-c,1,brain,0.924,False
sub-134-c,2,other,0.4209,False
sub-134-c,3,other,0.4321,False
sub-134-c,4,other,0.4959,False
sub-134-c,5,other,0.6092,False
sub-134-c,6,other,0.4196,False
sub-134-c,7,other,0.4357,False
sub-134-c,8,other,0.3964,False
sub-134-c,9,brain,0.7875,False
sub-134-c,10,other,0.5964,False
sub-134-c,11,other,0.6082,False
sub-134-c,12,brain,0.832,False
sub-134-c,13,other,0.6506,False
sub-134-c,14,other,0.6351,False
sub-134-c,15,other,0.6149,False
sub-134-c,16,other,0.3843,False
sub-134-c,17,other,0.8105,False
