recording,channel,broadband_rms_uV,median_window_peak_uV,max_window_peak_uV,reject_threshold_uV,reject_frac_windows,n_windows
sub-131-a,Fp1,17.244,36.933,354.091,100.0,0.9834,301
sub-131-a,Fp2,17.923,31.125,316.371,100.0,0.9834,301
sub-131-a,F7,75.037,163.274,1919.103,100.0,0.9834,301
sub-131-a,F3,332.426,208.146,11602.097,100.0,0.9834,301
sub-131-a,Fz,565.114,272.016,11607.347,100.0,0.9834,301
sub-131-a,F4,306.268,166.677,7440.798,100.0,0.9834,301
sub-131-a,F8,8.097,13.649,163.234,100.0,0.9834,301
sub-131-a,T3,196.79,107.697,7969.341,100.0,0.9834,301
sub-131-a,C3,241.548,212.108,5864.607,100.0,0.9834,301
sub-131-a,Cz,197.439,118.894,8137.903,100.0,0.9834,301
sub-131-a,C4,334.174,150.847,9693.708,100.0,0.9834,301
sub-131-a,T4,250.646,119.046,7759.447,100.0,0.9834,301
sub-131-a,T5,188.668,155.921,7233.236,100.0,0.9834,301
sub-131-a,P3,92.063,77.881,2358.137,100.0,0.9834,301
sub-131-a,P4,171.079,136.287,5723.076,100.0,0.9834,301
sub-131-a,T6,205.45,122.59,6325.748,100.0,0.9834,301
sub-131-a,O1,363.937,161.261,6839.554,100.0,0.9834,301
sub-131-a,O2,274.15,223.657,8251.891,100.0,0.9834,301
sub-131-c,Fp1,8.743,20.002,177.932,100.0,0.9953,215
sub-131-c,Fp2,11.604,25.542,309.65,100.0,0.9953,215
sub-131-c,F7,55.846,117.659,1154.511,100.0,0.9953,215
sub-131-c,F3,246.194,255.229,6130.285,100.0,0.9953,215
sub-131-c,Fz,575.344,515.905,7762.052,100.0,0.9953,215
sub-131-c,F4,479.702,274.146,8618.369,100.0,0.9953,215
sub-131-c,F8,70.565,115.654,2240.004,100.0,0.9953,215
sub-131-c,T3,122.419,108.878,4365.473,100.0,0.9953,215
sub-131-c,C3,154.331,323.797,3290.044,100.0,0.9953,215
sub-131-c,Cz,82.21,143.078,2326.544,100.0,0.9953,215
sub-131-c,C4,88.306,169.906,1580.648,100.0,0.9953,215
sub-131-c,T4,209.678,195.792,3184.874,100.0,0.9953,215
sub-131-c,T5,72.724,74.682,2586.399,100.0,0.9953,215
sub-131-c,P3,45.435,105.481,832.099,100.0,0.9953,215
sub-131-c,P4,57.929,136.501,1573.28,100.0,0.9953,215
sub-131-c,T6,134.363,120.797,4146.392,100.0,0.9953,215
sub-131-c,O1,179.685,136.779,5103.153,100.0,0.9953,215
sub-131-c,O2,144.728,222.876,3122.599,100.0,0.9953,215
sub-134-a,Fp1,19.003,27.277,623.126,100.0,0.9684,316
sub-134-a,Fp2,28.343,41.807,1037.755,100.0,0.9684,316
sub-134-a,F7,191.925,249.788,6457.013,100.0,0.9684,316
sub-134-a,F3,1280.484,784.06,20884.74,100.0,0.9684,316
sub-134-a,Fz,2161.792,2978.639,19392.293,100.0,0.9684,316
sub-134-a,F4,801.752,883.677,17065.433,100.0,0.9684,316
sub-134-a,F8,204.948,265.737,9121.943,100.0,0.9684,316
sub-134-a,T3,286.332,260.488,6108.737,100.0,0.9684,316
sub-134-a,C3,442.68,448.552,17448.828,100.0,0.9684,316
sub-134-a,Cz,650.607,330.07,22764.873,100.0,0.9684,316
sub-134-a,C4,418.672,283.421,21643.508,100.0,0.9684,316
sub-134-a,T4,425.609,330.786,14657.557,100.0,0.9684,316
sub-134-a,T5,246.394,248.289,8235.095,100.0,0.9684,316
sub-134-a,P3,577.049,596.231,17459.835,100.0,0.9684,316
sub-134-a,P4,338.98,252.301,15495.573,100.0,0.9684,316
sub-134-a,T6,329.807,307.5,16303.776,100.0,0.9684,316
sub-134-a,O1,2109.454,4793.565,15332.472,100.0,0.9684,316
sub-134-a,O2,419.574,187.086,16813.372,100.0,0.9684,316
sub-134-c,Fp1,19.214,23.259,564.727,100.0,1.0,321
sub-134-c,Fp2,10.513,14.005,557.535,100.0,1.0,321
sub-134-c,F7,150.746,178.664,8859.76,100.0,1.0,321
sub-134-c,F3,1120.044,946.528,18966.095,100.0,1.0,321
sub-134-c,Fz,1890.935,2293.887,21946.499,100.0,1.0,321
sub-134-c,F4,925.222,838.594,16983.611,100.0,1.0,321
sub-134-c,F8,193.366,228.549,6415.967,100.0,1.0,321
sub-134-c,T3,503.955,297.455,7930.169,100.0,1.0,321
sub-134-c,C3,352.884,299.058,11871.802,100.0,1.0,321
sub-134-c,Cz,1309.315,433.082,21740.987,100.0,1.0,321
sub-134-c,C4,349.956,256.181,18124.183,100.0,1.0,321
sub-134-c,T4,291.607,210.73,12674.302,100.0,1.0,321
sub-134-c,T5,412.5,159.364,10300.652,100.0,1.0,321
sub-134-c,P3,350.374,290.341,11807.41,100.0,1.0,321
sub-134-c,P4,299.835,268.547,17088.805,100.0,1.0,321
sub-134-c,T6,395.094,481.329,12843.303,100.0,1.0,321
sub-134-c,O1,707.508,1338.885,14505.61,100.0,1.0,321
sub-134-c,O2,372.241,226.13,14409.633,100.0,1.0,321
